"Date","Price","Open","High","Low","Vol.","Change %"
"2019-01-16","5.0976","5.0984","5.1120","5.0903","","0.02%"
"2019-01-15","5.0967","5.0956","5.1103","5.0814","","0.05%"
"2019-01-14","5.0941","5.0979","5.1079","5.0799","","-0.08%"
"2019-01-11","5.0980","5.1306","5.1352","5.0926","","-0.60%"
"2019-01-10","5.1288","5.1576","5.1615","5.1176","","-0.62%"
"2019-01-09","5.1607","5.1645","5.1786","5.1443","","-0.04%"
"2019-01-08","5.1628","5.1518","5.1701","5.1438","4.68K","0.21%"
"2019-01-07","5.1520","5.1339","5.1604","5.1212","4.51K","0.31%"
"2019-01-04","5.1363","5.0963","5.1375","5.0879","0.02K","0.82%"
"2019-01-03","5.0945","5.0534","5.1029","5.0244","5.18K","0.80%"
"2019-01-02","5.0540","5.0437","5.0565","5.0193","6.25K","0.21%"
"2019-01-01","5.0432","5.0443","5.0644","5.0400","3.17K","-0.01%"
"2018-12-31","5.0438","5.0457","5.0549","5.0328","","0.00%"
"2018-12-28","5.0437","5.0428","5.0578","5.0293","","0.03%"
"2018-12-27","5.0420","5.0724","5.0765","5.0258","","-0.62%"
"2018-12-26","5.0732","5.0675","5.0755","5.0550","","0.11%"
"2018-12-25","5.0678","5.0725","5.0751","5.0323","","-0.06%"
"2018-12-24","5.0706","5.0791","5.0924","5.0658","","-0.15%"
"2018-12-21","5.0783","5.0970","5.1145","5.0768","","-0.36%"
"2018-12-20","5.0967","5.1127","5.1266","5.0880","","-0.28%"
"2018-12-19","5.1110","5.1209","5.1384","5.1024","","-0.19%"
"2018-12-18","5.1208","5.1449","5.1516","5.1082","","-0.47%"
"2018-12-17","5.1452","5.1611","5.1646","5.1387","","-0.30%"
"2018-12-14","5.1608","5.1539","5.1677","5.1504","","0.13%"
"2018-12-13","5.1540","5.1536","5.1601","5.1402","","0.02%"
"2018-12-12","5.1532","5.1527","5.1651","5.1420","","0.00%"
"2018-12-11","5.1531","5.1582","5.1668","5.1397","","-0.13%"
"2018-12-10","5.1600","5.1623","5.1986","5.1510","","-0.03%"
"2018-12-07","5.1616","5.1430","5.1898","5.1293","","0.34%"
"2018-12-06","5.1440","5.1338","5.1490","5.1185","","0.19%"
"2018-12-05","5.1341","5.1552","5.1741","5.1166","","-0.40%"
"2018-12-04","5.1547","5.2154","5.2256","5.1528","","-1.17%"
"2018-12-03","5.2157","5.2485","5.2584","5.2062","","-0.37%"
"2018-11-30","5.2351","5.2306","5.2430","5.2149","","0.16%"
"2018-11-29","5.2266","5.2388","5.2419","5.2167","","-0.25%"
"2018-11-28","5.2396","5.2274","5.2522","5.2046","","0.21%"
"2018-11-27","5.2287","5.2363","5.2511","5.2149","","-0.17%"
"2018-11-26","5.2375","5.2511","5.2627","5.2332","","-0.22%"
"2018-11-23","5.2493","5.2552","5.2704","5.2404","","-0.13%"
"2018-11-22","5.2562","5.2359","5.2599","5.2306","","0.40%"
"2018-11-21","5.2351","5.2222","5.2382","5.2095","","0.30%"
"2018-11-20","5.2196","5.2698","5.2759","5.2142","","-0.97%"
"2018-11-19","5.2709","5.2778","5.2809","5.2572","","-0.13%"
"2018-11-16","5.2777","5.2645","5.2863","5.2621","","0.23%"
"2018-11-15","5.2657","5.2495","5.2758","5.2413","","0.30%"
"2018-11-14","5.2500","5.2531","5.2627","5.2389","","-0.10%"
"2018-11-13","5.2553","5.2565","5.2676","5.2439","","-0.03%"
"2018-11-12","5.2571","5.2721","5.2821","5.2551","","-0.17%"
"2018-11-09","5.2659","5.2704","5.2841","5.2567","","-0.10%"
"2018-11-08","5.2713","5.2785","5.3007","5.2594","","-0.12%"
"2018-11-07","5.2776","5.2726","5.2979","5.2646","","0.10%"
"2018-11-06","5.2724","5.2839","5.2876","5.2636","","-0.20%"
"2018-11-05","5.2828","5.2578","5.3013","5.2570","","0.50%"
"2018-11-02","5.2565","5.2903","5.2970","5.2512","","-0.66%"
"2018-11-01","5.2915","5.3030","5.3103","5.2782","","-0.21%"
"2018-10-31","5.3029","5.3166","5.3223","5.2960","","-0.24%"
"2018-10-30","5.3156","5.3007","5.3189","5.2984","","0.29%"
"2018-10-29","5.3004","5.2973","5.3195","5.2935","","0.05%"
"2018-10-26","5.2976","5.3156","5.3186","5.2781","","-0.35%"
"2018-10-25","5.3163","5.3177","5.3377","5.3024","","-0.06%"
"2018-10-24","5.3194","5.3041","5.3548","5.2988","","0.32%"
"2018-10-23","5.3026","5.3014","5.3068","5.2858","","-0.01%"
"2018-10-22","5.3030","5.2928","5.3090","5.2839","","0.24%"
"2018-10-19","5.2903","5.3026","5.3205","5.2766","","-0.22%"
"2018-10-18","5.3018","5.3205","5.3301","5.2996","","-0.36%"
"2018-10-17","5.3210","5.3440","5.3532","5.3175","","-0.43%"
"2018-10-16","5.3441","5.3228","5.3524","5.3205","","0.38%"
"2018-10-15","5.3239","5.3152","5.3404","5.3028","","0.15%"
"2018-10-12","5.3158","5.2881","5.3273","5.2839","","0.52%"
"2018-10-11","5.2881","5.2987","5.3201","5.2703","","-0.20%"
"2018-10-10","5.2988","5.3475","5.3548","5.2973","","-0.90%"
"2018-10-09","5.3470","5.3447","5.3523","5.3243","","0.03%"
"2018-10-08","5.3456","5.3075","5.3525","5.3014","","0.68%"
"2018-10-05","5.3095","5.3155","5.3275","5.3017","","-0.10%"
"2018-10-04","5.3148","5.3371","5.3433","5.3087","","-0.43%"
"2018-10-03","5.3375","5.3567","5.3642","5.3305","","-0.36%"
"2018-10-02","5.3567","5.3600","5.3675","5.3487","","-0.06%"
"2018-10-01","5.3598","5.3241","5.3749","5.3241","","0.71%"
"2018-09-28","5.3222","5.2817","5.3235","5.2776","","0.74%"
"2018-09-27","5.2832","5.2831","5.2945","5.2630","","0.00%"
"2018-09-26","5.2831","5.3003","5.3127","5.2807","","-0.34%"
"2018-09-25","5.3011","5.2942","5.3137","5.2930","","0.16%"
"2018-09-24","5.2926","5.3090","5.3122","5.2913","","-0.32%"
"2018-09-21","5.3095","5.3063","5.3145","5.2942","","0.06%"
"2018-09-20","5.3063","5.3014","5.3142","5.2941","","0.07%"
"2018-09-19","5.3026","5.2885","5.3099","5.2707","","0.25%"
"2018-09-18","5.2893","5.2570","5.2905","5.2478","","0.62%"
"2018-09-17","5.2568","5.2698","5.2801","5.2560","","-0.26%"
"2018-09-14","5.2705","5.2642","5.2802","5.2566","","0.09%"
"2018-09-13","5.2660","5.2796","5.2817","5.2485","","-0.24%"
"2018-09-12","5.2786","5.2603","5.2865","5.2528","","0.36%"
"2018-09-11","5.2598","5.2090","5.2707","5.2070","","1.00%"
"2018-09-10","5.2078","5.1947","5.2154","5.1919","","0.11%"
"2018-09-07","5.2020","5.2010","5.2199","5.1878","","0.00%"
"2018-09-06","5.2021","5.1843","5.2076","5.1652","","0.36%"
"2018-09-05","5.1833","5.1913","5.2015","5.1726","","-0.13%"
"2018-09-04","5.1898","5.2104","5.2142","5.1814","","-0.41%"
"2018-09-03","5.2114","5.2402","5.2402","5.2066","","-0.54%"
"2018-08-31","5.2397","5.2707","5.2755","5.2162","","-0.63%"
